//Linie,Richtung,Endstation,Wochentage,Stunde,Minute,,,
//-,,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags",-,-,,,
U3,sued,Suedbahnhof,0b01000000,7,23,53,,
U3,sued,Suedbahnhof,0b01000000,8,23,53,,
U3,sued,Suedbahnhof,0b01000000,9,20,50,,
U3,sued,Suedbahnhof,0b01000000,10,20,50,,
U3,sued,Suedbahnhof,0b01000000,11,20,50,,
U3,sued,Suedbahnhof,0b01000000,12,20,50,,
U3,sued,Suedbahnhof,0b01000000,13,20,50,,
U3,sued,Suedbahnhof,0b01000000,14,20,50,,
U3,sued,Suedbahnhof,0b01000000,15,20,50,,
U3,sued,Suedbahnhof,0b01000000,16,20,50,,
U3,sued,Suedbahnhof,0b01000000,17,20,50,,
U3,sued,Suedbahnhof,0b01000000,18,20,50,,
U3,sued,Suedbahnhof,0b01000000,19,20,50,,
U3,sued,Suedbahnhof,0b01000000,20,20,50,,
U3,sued,Suedbahnhof,0b01000000,21,20,50,,
U3,sued,Suedbahnhof,0b01000000,22,20,50,,
U3,sued,Suedbahnhof,0b01000000,23,20,53,,
,,,,,,,,
//U3 Richtung Hohemark,,,,,,,,
// Wochentags,,,,,,,,
U3,nord,Oberursel Bhf,0b00011110,0,5,,,
U3,nord,Hohemark,0b00011111,0,10,37,,
U3,nord,Hohemark,0b00011111,1,7,,,
U3,nord,Oberursel Bhf,0b00011111,1,37,,,
U3,nord,Hohemark,0b00011111,4,7,,,
U3,nord,Hohemark,0b00011111,5,7,37,,
U3,nord,Hohemark,0b00011111,6,7,22,37,52
U3,nord,Hohemark,0b00011111,7,7,22,37,52
U3,nord,Hohemark,0b00011111,8,7,22,37,52
U3,nord,Hohemark,0b00011111,9,7,22,37,52
U3,nord,Hohemark,0b00011111,10,7,22,37,52
U3,nord,Hohemark,0b00011111,11,7,22,37,52
U3,nord,Hohemark,0b00011111,12,7,22,37,52
U3,nord,Hohemark,0b00011111,13,7,22,37,52
U3,nord,Hohemark,0b00011111,14,7,22,37,52
U3,nord,Hohemark,0b00011111,15,7,22,37,52
U3,nord,Hohemark,0b00011111,16,7,22,37,52
U3,nord,Hohemark,0b00011111,17,7,22,37,52
U3,nord,Hohemark,0b00011111,18,7,22,37,52
U3,nord,Hohemark,0b00011111,19,7,22,37,52
U3,nord,Hohemark,0b00011111,20,7,22,37,
U3,nord,Oberursel Bhf,0b00011111,20,52,,,
U3,nord,Hohemark,0b00011111,21,7,40,,
U3,nord,Oberursel Bhf,0b00011111,21,22,52,,
U3,nord,Hohemark,0b00011111,22,10,40,,
U3,nord,Hohemark,0b00011111,23,10,40,,
//Samstags,,,,,,,,
U3,nord,Oberursel Bhf,0b00100000,0,5,,,
U3,nord,Hohemark,0b00100000,0,10,37,,
U3,nord,Hohemark,0b00100000,4,39,,,
U3,nord,Hohemark,0b00100000,5,9,37,,
U3,nord,Hohemark,0b00100000,6,7,37,,
U3,nord,Hohemark,0b00100000,7,7,37,,
U3,nord,Hohemark,0b00100000,8,7,37,52,
U3,nord,Hohemark,0b00100000,9,7,22,37,52
U3,nord,Hohemark,0b00100000,10,7,22,37,52
U3,nord,Hohemark,0b00100000,11,7,22,37,52
U3,nord,Hohemark,0b00100000,12,7,22,37,52
U3,nord,Hohemark,0b00100000,13,7,22,37,52
