"//Linie","Richtung","Endstation","Wochentage","Stunde","Minute",,,,,,,
"//-",,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags","-","-",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"//U3 Richtung Hohemark",,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U8","nord","Riedberg","0b00111110",1,22,,,,,,,
,,,,,,,,,,,,
"//Samstags",,,,,,,,,,,,
"U8","nord","Riedberg","0b00100000",4,22,52,,,,,,
"U8","nord","Riedberg","0b00100000",5,22,52,,,,,,
"U8","nord","Riedberg","0b00100000",6,22,52,,,,,,
"U8","nord","Riedberg","0b00100000",7,22,52,,,,,,
"U8","nord","Riedberg","0b00100000",8,10,22,44,59,,,,
"U8","nord","Riedberg","0b00100000",9,14,29,44,57,,,,
"U8","nord","Riedberg","0b00100000",10,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",11,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",12,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",13,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",14,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",15,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",16,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",17,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",18,12,27,42,57,,,,
"U8","nord","Riedberg","0b00100000",19,12,32,52,,,,,
"U8","nord","Riedberg","0b00100000",20,7,22,37,52,,,,
"U8","nord","Riedberg","0b00100000",21,7,22,37,52,,,,
"U8","nord","Riedberg","0b00100000",22,7,22,37,52,,,,
"U8","nord","Riedberg","0b00100000",23,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",0,7,22,52,,,,,
"U8","nord","Riedberg","0b01000000",1,22,,,,,,,
,,,,,,,,,,,,
"//Sonntags",,,,,,,,,,,,
"U8","nord","Riedberg","0b01000000",4,52,,,,,,,
"U8","nord","Riedberg","0b01000000",5,22,52,,,,,,
"U8","nord","Riedberg","0b01000000",6,22,52,,,,,,
"U8","nord","Riedberg","0b01000000",7,22,52,,,,,,
"U8","nord","Riedberg","0b01000000",8,22,52,,,,,,
"U8","nord","Riedberg","0b01000000",9,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",10,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",11,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",12,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",13,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",14,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",15,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",16,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",17,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",18,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",19,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",20,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",21,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",22,7,22,37,52,,,,
"U8","nord","Riedberg","0b01000000",23,7,22,37,52,,,,
"U8","nord","Riedberg","0b00000001",0,7,22,52,,,,,
"U8","nord","Riedberg","0b00000001",1,22,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U9","sued","Ginnheim","0b00011111",2,,,,,,,,
"U9","sued","Ginnheim","0b00011111",3,,,,,,,,
"U9","sued","Ginnheim","0b00011111",4,48,,,,,,,
"U9","sued","Ginnheim","0b00011111",5,18,48,,,,,,
"U9","sued","Ginnheim","0b00011111",6,18,33,48,,,,,
"U9","sued","Ginnheim","0b00011111",7,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",8,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",9,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",10,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",11,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",12,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",13,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",14,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",15,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",16,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",17,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",18,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",19,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",20,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00011111",21,3,18,48,,,,,
"U9","sued","Ginnheim","0b00011111",22,18,48,,,,,,
"U9","sued","Ginnheim","0b00011111",23,19,49,,,,,,
"U9","sued","Ginnheim","0b00111110",0,20,50,,,,,,
"U9","sued","Ginnheim","0b00111110",1,,,,,,,,
,,,,,,,,,,,,
"//Samstags",,,,,,,,,,,,
"U9","sued","Ginnheim","0b00100000",4,,,,,,,,
"U9","sued","Ginnheim","0b00100000",5,18,48,,,,,,
"U9","sued","Ginnheim","0b00100000",6,18,48,,,,,,
"U9","sued","Ginnheim","0b00100000",7,18,33,48,,,,,
"U9","sued","Ginnheim","0b00100000",8,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",9,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",10,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",11,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",12,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",13,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",14,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",15,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",16,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",17,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",18,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",19,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",20,3,18,33,48,,,,
"U9","sued","Ginnheim","0b00100000",21,3,18,48,,,,,
"U9","sued","Ginnheim","0b00100000",22,18,48,,,,,,
"U9","sued","Ginnheim","0b00100000",23,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",0,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",1,,,,,,,,
,,,,,,,,,,,,
"//Sonntags",,,,,,,,,,,,
"U9","sued","Ginnheim","0b01000000",4,,,,,,,,
"U9","sued","Ginnheim","0b01000000",5,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",6,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",7,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",8,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",9,18,33,48,,,,,
"U9","sued","Ginnheim","0b01000000",10,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",11,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",12,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",13,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",14,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",15,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",16,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",17,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",18,3,18,33,48,,,,
